104102	1041	2	2	28	1	3	"THIGALA"	"KANNADA"	0	0	0	0	0	0	4	12			2	2
104201	1042	1	1	40	2	3	"PATAN"	"URDU"	1	0	0	0	0	0	16		6	"DAYS PER WEEK"	2	2
104202	1042	2	2	35	2	3	"PATAN"	"URDU"	1	0	0	0	0	0	16	20	6	"DAYS PER WEEK"	1	1
104301	1043	1	1	45	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	3		7	"DAYS PER WEEK"	2	2
104302	1043	2	2	40	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16	5			2	1
104801	1048	1	1	60	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	7		6	"DAYS PER WEEK"	2	1
104802	1048	2	2	45	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	4				1	1
104901	1049	1	1	30	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	9	9	8	"HOURS PER DAY"	2	2
104902	1049	2	2	25	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16				2	2
105201	1052	1	1	30	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	9	6	5	"DAYS PER WEEK"	2	1
105301	1053	1	1	55	1	3	"THIGALAS"	"KANNADA"	0	0	0	0	0	0	16		8	"HOURS PER DAY"	2	2
105302	1053	2	2	50	1	3	"THIGALA"	"KANNADA"	0	0	0	0	0	0	16	35			2	2
105303	1053	1	3	30	1	3	"THIGALA"	"KANNADA"	0	0	0	0	0	0	8		6	"DAYS PER WEEK"	2	2
105304	1053	2	3	28	1	3	"THIGALA"	"KANNADA"	0	0	0	0	0	0	10	10	6	"DAYS PER WEEK"	2	2
105401	1054	1	1	65	1	4	"VISHWAKARMA"	"KANNADA"	0	0	1	0	0	0	4		5	"DAYS PER WEEK"	2	1
105402	1054	2	2	50	1	4	"VISHWAKARMA"	"KANNADA"	0	0	1	0	0	0	16	30			2	1
105404	1054	2	3	21	1	4	"VISHWAKARMA"	"KANNADA"	0	0	0	0	0	0	8				2	2
105802	1058	2	2	45	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16				2	2
105901	1059	1	1	32	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	9		4	"HOURS PER DAY"	2	1
105902	1059	2	2	27	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16	25			1	2
106201	1062	1	1	58	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16		6	"DAYS PER WEEK"	2	2
106202	1062	2	2	40	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	10	21	6	"DAYS PER WEEK"	2	1
106204	1062	1	3	45	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16		4	"DAYS PER WEEK"	2	2
106205	1062	2	2	35	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16	15	6	"DAYS PER WEEK"	2	2
106501	1065	1	1	70	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16		4	"DAYS PER WEEK"	2	2
106502	1065	1	3	40	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16		5	"DAYS PER WEEK"	2	2
106503	1065	2	3	25	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	5	5			2	2
106701	1067	1	1	54	1	3	"VOKKALIGA"	"KANNADA"	1	0	0	0	0	0	13		6	"DAYS PER WEEK"	2	1
106702	1067	2	2	45	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16	33			2	2
106704	1067	2	3	20	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	1	11				2	2
106801	1068	1	1	30	1	3	"ACHARYA"	"KANNADA"	0	0	0	0	0	0	4		6	"DAYS PER WEEK"	2	2
106802	1068	2	2	28	1	3	"ACHAR"	"KANNADA"	0	0	1	0	0	0	7	7	8	"HOURS PER DAY"	2	2
107101	1071	1	1	45	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	5		8	"HOURS PER DAY"	2	1
107102	1071	2	2	38	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	4		8	"DAYS PER WEEK"	2	1
107301	1073	1	1	75	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	10				2	2
107302	1073	2	2	68	1	3	"VOKKALIGAS"	"KANNADA"	0	0	0	0	0	0	16	50			2	2
107303	1073	1	3	50	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	10		4	"HOURS PER DAY"	2	2
107304	1073	2	2	40	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	10	30			2	2
107307	1073	1	3	42	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	5		6	"DAYS PER WEEK"	2	2
107308	1073	2	2	31	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	10	16			2	2
107401	1074	1	1	42	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	12	6	6	"DAYS PER WEEK"	2	1
107402	1074	2	2	35	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	5				2	2
